
> warqandqlam@0.1.0 dev
> next dev

▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.8.49:3000
✓ Ready in 665ms

 GET /products/products-page-pen-1 200 in 139ms (next.js: 6ms, generate-params: 22µs, application-code: 133ms)
 GET /products/products-page-pen-1 200 in 118ms (next.js: 5ms, generate-params: 21µs, application-code: 112ms)
 GET /products/products-page-pen-1 200 in 95ms (next.js: 5ms, generate-params: 19µs, application-code: 89ms)
 GET /products/products-page-pen-1 200 in 92ms (next.js: 4ms, generate-params: 22µs, application-code: 87ms)
 GET /products/products-page-pen-1 200 in 110ms (next.js: 4ms, generate-params: 20µs, application-code: 106ms)
 GET /products/products-page-pen-1 200 in 127ms (next.js: 7ms, generate-params: 32µs, application-code: 120ms)
 GET /products/products-page-pen-1 200 in 129ms (next.js: 5ms, generate-params: 22µs, application-code: 124ms)
 GET /products/products-page-pen-1 200 in 109ms (next.js: 4ms, generate-params: 23µs, application-code: 105ms)
 GET /products/products-page-pen-1 200 in 88ms (next.js: 5ms, generate-params: 19µs, application-code: 83ms)
 GET /products/products-page-pen-1 200 in 90ms (next.js: 4ms, generate-params: 23µs, application-code: 86ms)
 GET /products/products-page-pen-1 200 in 130ms (next.js: 5ms, generate-params: 21µs, application-code: 125ms)
 GET /products/products-page-pen-1 200 in 147ms (next.js: 5ms, generate-params: 20µs, application-code: 142ms)
 GET /products/products-page-pen-1 200 in 152ms (next.js: 4ms, generate-params: 21µs, application-code: 148ms)
 GET /products/products-page-pen-1 200 in 131ms (next.js: 11ms, generate-params: 5ms, application-code: 121ms)
 GET /products/products-page-pen-1 200 in 99ms (next.js: 9ms, generate-params: 20µs, application-code: 90ms)
 GET /products/products-page-pen-1 200 in 131ms (next.js: 4ms, generate-params: 19µs, application-code: 126ms)
 GET /products/products-page-pen-1 200 in 159ms (next.js: 6ms, generate-params: 31µs, application-code: 153ms)
 GET /products/products-page-pen-1 200 in 152ms (next.js: 7ms, generate-params: 40µs, application-code: 144ms)
 GET /products/products-page-pen-1 200 in 141ms (next.js: 5ms, generate-params: 21µs, application-code: 136ms)
 GET /products/products-page-pen-1 200 in 120ms (next.js: 5ms, generate-params: 21µs, application-code: 115ms)
 GET /products/products-page-pen-1 200 in 99ms (next.js: 4ms, generate-params: 28µs, application-code: 95ms)
 GET /products/products-page-pen-1 200 in 124ms (next.js: 5ms, generate-params: 21µs, application-code: 120ms)
 GET /products/products-page-pen-1 200 in 127ms (next.js: 5ms, generate-params: 21µs, application-code: 122ms)
 GET /products/products-page-pen-1 200 in 144ms (next.js: 8ms, generate-params: 30µs, application-code: 135ms)
 GET /products/products-page-pen-1 200 in 136ms (next.js: 5ms, generate-params: 20µs, application-code: 131ms)
 GET /products/products-page-pen-1 200 in 113ms (next.js: 5ms, generate-params: 21µs, application-code: 108ms)
 GET /products/products-page-pen-1 200 in 113ms (next.js: 6ms, generate-params: 20µs, application-code: 107ms)
 GET /products/products-page-pen-1 200 in 122ms (next.js: 7ms, generate-params: 49µs, application-code: 115ms)
 GET /products/products-page-pen-1 200 in 138ms (next.js: 5ms, generate-params: 26µs, application-code: 133ms)
 GET /products/products-page-pen-1 200 in 158ms (next.js: 5ms, generate-params: 19µs, application-code: 153ms)
 GET /products/products-page-pen-1 200 in 133ms (next.js: 11ms, generate-params: 6ms, application-code: 121ms)
 GET /products/products-page-pen-1 200 in 120ms (next.js: 6ms, generate-params: 21µs, application-code: 114ms)
 GET /products/products-page-pen-1 200 in 84ms (next.js: 5ms, generate-params: 20µs, application-code: 78ms)
 GET /products/products-page-pen-1 200 in 107ms (next.js: 4ms, generate-params: 23µs, application-code: 103ms)
 GET /products/products-page-pen-1 200 in 103ms (next.js: 5ms, generate-params: 19µs, application-code: 98ms)
 GET /products/products-page-pen-1 200 in 118ms (next.js: 5ms, generate-params: 19µs, application-code: 113ms)
 GET /products/products-page-pen-1 200 in 98ms (next.js: 4ms, generate-params: 21µs, application-code: 94ms)
 GET /products/products-page-pen-1 200 in 93ms (next.js: 4ms, generate-params: 17µs, application-code: 89ms)
 GET /products/products-page-pen-1 200 in 94ms (next.js: 4ms, generate-params: 21µs, application-code: 90ms)
 GET /products/products-page-pen-1 200 in 95ms (next.js: 4ms, generate-params: 18µs, application-code: 91ms)
 GET /products/products-page-pen-1 200 in 97ms (next.js: 4ms, generate-params: 18µs, application-code: 94ms)
 GET /products/products-page-pen-1 200 in 119ms (next.js: 4ms, generate-params: 20µs, application-code: 116ms)
 GET /products/products-page-pen-1 200 in 101ms (next.js: 5ms, generate-params: 19µs, application-code: 97ms)
 GET /products/products-page-pen-1 200 in 111ms (next.js: 4ms, generate-params: 19µs, application-code: 106ms)
 GET /products/products-page-pen-1 200 in 139ms (next.js: 6ms, generate-params: 20µs, application-code: 133ms)
 GET /products/products-page-pen-1 200 in 115ms (next.js: 4ms, generate-params: 19µs, application-code: 111ms)
 GET /products/products-page-pen-1 200 in 118ms (next.js: 5ms, generate-params: 19µs, application-code: 113ms)
 GET /products/products-page-pen-1 200 in 126ms (next.js: 10ms, generate-params: 5ms, application-code: 116ms)
 GET /products/products-page-pen-1 200 in 125ms (next.js: 31ms, generate-params: 17µs, application-code: 95ms)
 GET /products/products-page-pen-1 200 in 98ms (next.js: 5ms, generate-params: 29µs, application-code: 93ms)
 GET /products/products-page-pen-1 200 in 118ms (next.js: 4ms, generate-params: 22µs, application-code: 114ms)
 GET /products/products-page-pen-1 200 in 100ms (next.js: 4ms, generate-params: 19µs, application-code: 96ms)
 GET /products/products-page-pen-1 200 in 100ms (next.js: 4ms, generate-params: 20µs, application-code: 96ms)
 GET /products/products-page-pen-1 200 in 122ms (next.js: 4ms, generate-params: 19µs, application-code: 118ms)
 GET /products/products-page-pen-1 200 in 122ms (next.js: 26ms, generate-params: 21µs, application-code: 96ms)
 GET /products/products-page-pen-1 200 in 98ms (next.js: 5ms, generate-params: 140µs, application-code: 93ms)
